,subject,who,net,comparison,value
0,0,human,-1,TM,-0.01880592107816237
1,1,human,-1,TM,0.013928106937914908
2,2,human,-1,TM,0.03841655151533696
3,3,human,-1,TM,-0.3604164432526674
4,4,human,-1,TM,0.1610866945360061
5,5,human,-1,TM,0.2787753215697947
6,6,human,-1,TM,0.31982714443000815
7,7,human,-1,TM,0.2010866753384486
8,8,human,-1,TM,0.32789240218014426
9,9,human,-1,TM,0.22894596913103704
10,10,human,-1,TM,0.38949384407294185
11,11,human,-1,TM,0.042500831477828904
12,12,human,-1,TM,0.4739005922643005
13,13,human,-1,TM,-0.06453364081907065
14,14,human,-1,TM,0.049558960706794886
15,15,human,-1,TM,0.48187082022129635
16,16,human,-1,TM,0.33635392853573076
17,17,human,-1,TM,0.0814220193128844
18,18,human,-1,TM,-0.08567582395408291
19,19,human,-1,TM,-0.11647112722401909
20,20,human,-1,TM,0.05976195412237428
21,21,human,-1,TM,0.11864702833578988
22,22,human,-1,TM,0.23303825711047377
23,23,human,-1,TM,0.25150170675023054
24,24,human,-1,TM,0.451600162651138
25,0,human,-1,TS,0.06484851887910481
26,1,human,-1,TS,0.030919704083112287
27,2,human,-1,TS,0.15260289092056534
28,3,human,-1,TS,-0.250389263618336
29,4,human,-1,TS,0.13852202415483694
30,5,human,-1,TS,0.434287410608749
31,6,human,-1,TS,0.23205908742305958
32,7,human,-1,TS,0.3153062714931637
33,8,human,-1,TS,0.46002191507580026
34,9,human,-1,TS,0.37682478028846333
35,10,human,-1,TS,0.3588782780905888
36,11,human,-1,TS,0.032506319372088255
37,12,human,-1,TS,0.49544130410175713
38,13,human,-1,TS,0.19769187740196137
39,14,human,-1,TS,0.01591566378120257
40,15,human,-1,TS,0.40350446749052604
41,16,human,-1,TS,0.40409839827156013
42,17,human,-1,TS,0.3610654730014867
43,18,human,-1,TS,0.02243257004714827
44,19,human,-1,TS,-0.23312342865916413
45,20,human,-1,TS,0.053392747488351655
46,21,human,-1,TS,0.23399161508780808
47,22,human,-1,TS,0.355618003865559
48,23,human,-1,TS,0.27508964786372103
49,24,human,-1,TS,0.38241231834259415
50,0,human,-1,MS,0.08365443995726718
51,1,human,-1,MS,0.01699159714519738
52,2,human,-1,MS,0.11418633940522838
53,3,human,-1,MS,0.1100271796343314
54,4,human,-1,MS,-0.02256467038116916
55,5,human,-1,MS,0.1555120890389543
56,6,human,-1,MS,-0.08776805700694856
57,7,human,-1,MS,0.11421959615471511
58,8,human,-1,MS,0.132129512895656
59,9,human,-1,MS,0.1478788111574263
60,10,human,-1,MS,-0.030615565982353043
61,11,human,-1,MS,-0.00999451210574065
62,12,human,-1,MS,0.02154071183745665
63,13,human,-1,MS,0.262225518221032
64,14,human,-1,MS,-0.033643296925592314
