subject	who	net	comparison	value
0	model	9	1	0.0
1	model	9	1	0.0
2	model	9	1	0.0
3	model	9	1	0.0
4	model	9	1	0.0
5	model	9	1	0.0
6	model	9	1	0.0
7	model	9	1	0.0
8	model	9	1	0.0
9	model	9	1	0.0
10	model	9	1	0.0
11	model	9	1	0.0
12	model	9	1	0.0
13	model	9	1	0.0
14	model	9	1	0.0
15	model	9	1	0.0
16	model	9	1	0.0
17	model	9	1	0.0
18	model	9	1	0.0
19	model	9	1	0.0
20	model	9	1	0.0
21	model	9	1	0.0
22	model	9	1	0.0
23	model	9	1	0.0
24	model	9	1	0.0
0	model	9	0.5	-0.009489712018651786
1	model	9	0.5	-0.011623286903685859
2	model	9	0.5	-0.03553514329277585
3	model	9	0.5	-0.06401019453966528
4	model	9	0.5	-0.0356232048404167
5	model	9	0.5	-0.025126164701993026
6	model	9	0.5	-0.015832840332829834
7	model	9	0.5	-0.030802504221380644
8	model	9	0.5	-0.0414386556227796
9	model	9	0.5	-0.022046889459408914
10	model	9	0.5	-0.04792932981637221
11	model	9	0.5	-0.0324225234736083
12	model	9	0.5	-0.04098125941492747
13	model	9	0.5	-0.022478980660553427
14	model	9	0.5	-0.02593106406349821
15	model	9	0.5	-0.05324947756859888
16	model	9	0.5	-0.02207896463887815
17	model	9	0.5	-0.008756668393296696
18	model	9	0.5	-0.03132019583866297
19	model	9	0.5	-0.02335268006436464
20	model	9	0.5	-0.05140992365058594
21	model	9	0.5	-0.03606061207905065
22	model	9	0.5	-0.017177947599168797
23	model	9	0.5	-0.01898905035037113
24	model	9	0.5	-0.013916332444213975
0	model	9	0.4	-0.02514734048851852
1	model	9	0.4	-0.021219667254982366
2	model	9	0.4	-0.04445021336796828
3	model	9	0.4	-0.0857742802729825
4	model	9	0.4	-0.0509405233355672
5	model	9	0.4	-0.032990919374477734
6	model	9	0.4	-0.02070838032009248
7	model	9	0.4	-0.045415508234945
8	model	9	0.4	-0.054854245223609266
9	model	9	0.4	-0.03752326316054966
10	model	9	0.4	-0.06435892225896755
11	model	9	0.4	-0.046598916743363694
12	model	9	0.4	-0.06319080017995538
13	model	9	0.4	-0.02584884626149553
14	model	9	0.4	-0.04641821636577548
15	model	9	0.4	-0.07861819395211933
16	model	9	0.4	-0.033437695706560855
17	model	9	0.4	-0.008737022907996383
18	model	9	0.4	-0.057236955162366154
19	model	9	0.4	-0.021685016113246247
20	model	9	0.4	-0.07833450072022574
21	model	9	0.4	-0.058269362947938164
22	model	9	0.4	-0.018423782515787912
23	model	9	0.4	-0.03622171237461602
24	model	9	0.4	-0.024447731100663006
0	model	9	0.1	-0.05698375388583088
1	model	9	0.1	-0.07632747396382777
2	model	9	0.1	-0.28778448181641614
3	model	9	0.1	-0.305713524846003
4	model	9	0.1	-0.1676054668929513
5	model	9	0.1	-0.16461509993847878
6	model	9	0.1	-0.19551619753271743
7	model	9	0.1	-0.19903535897396407
8	model	9	0.1	-0.2420398007961545
9	model	9	0.1	-0.18629815354242985
10	model	9	0.1	-0.2740532460429864
11	model	9	0.1	-0.23545899999604059
12	model	9	0.1	-0.23762733108272782
13	model	9	0.1	-0.1110979604373985
14	model	9	0.1	-0.21280187801589
15	model	9	0.1	-0.2956919850062816
16	model	9	0.1	-0.14337540292567708
17	model	9	0.1	-0.10131338645686627
18	model	9	0.1	-0.21489128043691286
19	model	9	0.1	-0.1210195270832013
20	model	9	0.1	-0.2778182012203513
21	model	9	0.1	-0.1841039877373959
22	model	9	0.1	-0.10378027287752589
23	model	9	0.1	-0.133508199441154
24	model	9	0.1	-0.1525245321047085
0	model	9	0.05	-0.10403339630732389
1	model	9	0.05	-0.16878901154359272
2	model	9	0.05	-0.44483440423728293
3	model	9	0.05	-0.40612834448994695
4	model	9	0.05	-0.24034128602099336
5	model	9	0.05	-0.27853356612556546
6	model	9	0.05	-0.39555730445249837
7	model	9	0.05	-0.30634742334064125
8	model	9	0.05	-0.4223057424753517
9	model	9	0.05	-0.35715707267011954
10	model	9	0.05	-0.3945995623538088
11	model	9	0.05	-0.4001432355866461
12	model	9	0.05	-0.36072164197657774
13	model	9	0.05	-0.17862540175564778
14	model	9	0.05	-0.35146461754843317
15	model	9	0.05	-0.4600119216587034
16	model	9	0.05	-0.28247125760078695
17	model	9	0.05	-0.24213758062969148
18	model	9	0.05	-0.3165546710689888
19	model	9	0.05	-0.2104204323886797
20	model	9	0.05	-0.40855456923068534
21	model	9	0.05	-0.3218385872299069
22	model	9	0.05	-0.20136031803441812
23	model	9	0.05	-0.3369814179712711
24	model	9	0.05	-0.3003420401748049
