subject	who	net	comparison	value
0	model	8	0.0010	0.012706392375732012
1	model	8	0.0010	0.011479869674867027
2	model	8	0.0010	0.016158360730732735
3	model	8	0.0010	-0.004634176655850419
4	model	8	0.0010	-0.00937960306824126
5	model	8	0.0010	-0.009384944243740923
6	model	8	0.0010	0.0079698763355458
7	model	8	0.0010	0.010059005432696666
8	model	8	0.0010	0.00018407430355393828
9	model	8	0.0010	-0.022658340704645674
10	model	8	0.0010	0.006930373662133782
11	model	8	0.0010	-0.01707955845676523
12	model	8	0.0010	-0.010877819364855434
13	model	8	0.0010	0.00650703736604874
14	model	8	0.0010	-0.0010043408582129931
15	model	8	0.0010	0.020739147626746557
16	model	8	0.0010	0.0045489417771149565
17	model	8	0.0010	-0.012954143600212076
18	model	8	0.0010	-0.006672381602093935
19	model	8	0.0010	0.004145424207259607
20	model	8	0.0010	0.0031773170553399677
21	model	8	0.0010	0.014511529925004263
22	model	8	0.0010	0.003331201367659964
23	model	8	0.0010	-0.00472576850832207
24	model	8	0.0010	0.0028460962956744496
0	model	8	0.0020	-0.00539522406275561
1	model	8	0.0020	-0.00906914679784765
2	model	8	0.0020	-0.061289417252825995
3	model	8	0.0020	-0.05601859119193042
4	model	8	0.0020	-0.03654840463300402
5	model	8	0.0020	-0.05618429799980129
6	model	8	0.0020	-0.042941308259455746
7	model	8	0.0020	-0.03974253723263377
8	model	8	0.0020	-0.04561977677895379
9	model	8	0.0020	-0.04395636097488942
10	model	8	0.0020	-0.06019889709559334
11	model	8	0.0020	-0.056157593927535054
12	model	8	0.0020	-0.053694908430548915
13	model	8	0.0020	-0.02468859744113827
14	model	8	0.0020	-0.036424495244920085
15	model	8	0.0020	-0.014715505996964473
16	model	8	0.0020	-0.04981553231062974
17	model	8	0.0020	-0.020926616203262638
18	model	8	0.0020	-0.06079740360399022
19	model	8	0.0020	-0.005405475293008499
20	model	8	0.0020	-0.04205561703979954
21	model	8	0.0020	-0.04167352103125577
22	model	8	0.0020	-0.020757730578398248
23	model	8	0.0020	-0.04217988393638672
24	model	8	0.0020	-0.011554822452273905
0	model	8	0.0025	-0.0005175282633479439
1	model	8	0.0025	-0.03476059976347834
2	model	8	0.0025	-0.06315535842863651
3	model	8	0.0025	-0.06319753638151793
4	model	8	0.0025	-0.051337374071119934
5	model	8	0.0025	-0.0656571379785359
6	model	8	0.0025	-0.05980497740355173
7	model	8	0.0025	-0.03649642984704027
8	model	8	0.0025	-0.052188365641773204
9	model	8	0.0025	-0.03752154947566866
10	model	8	0.0025	-0.056864613772079076
11	model	8	0.0025	-0.07748197872428042
12	model	8	0.0025	-0.07865017051994538
13	model	8	0.0025	-0.041242165154110166
14	model	8	0.0025	-0.05700206873883995
15	model	8	0.0025	-0.07922581965017028
16	model	8	0.0025	-0.03558258124696967
17	model	8	0.0025	-0.046117664237363076
18	model	8	0.0025	-0.07413714036018859
19	model	8	0.0025	0.0028350729428116006
20	model	8	0.0025	-0.07015682653396293
21	model	8	0.0025	-0.09153567170808086
22	model	8	0.0025	-0.012938046547542603
23	model	8	0.0025	-0.03055025334310324
24	model	8	0.0025	-0.04485503466744667
0	model	8	0.0100	-0.07318631752487847
1	model	8	0.0100	-0.11780844508196997
2	model	8	0.0100	-0.2758749919932798
3	model	8	0.0100	-0.26126414674793297
4	model	8	0.0100	-0.19926806986027146
5	model	8	0.0100	-0.2315837895422147
6	model	8	0.0100	-0.3173402491055004
7	model	8	0.0100	-0.27815677467873623
8	model	8	0.0100	-0.31602490439657005
9	model	8	0.0100	-0.23390198216293623
10	model	8	0.0100	-0.38389654908956783
11	model	8	0.0100	-0.32618627614358386
12	model	8	0.0100	-0.35065786716327096
13	model	8	0.0100	-0.15609897775192094
14	model	8	0.0100	-0.2960908828466211
15	model	8	0.0100	-0.4156172945620046
16	model	8	0.0100	-0.2283680119494963
17	model	8	0.0100	-0.24381934738371358
18	model	8	0.0100	-0.3042268465313711
19	model	8	0.0100	-0.08695563705542553
20	model	8	0.0100	-0.2905973603408699
21	model	8	0.0100	-0.35578121051974654
22	model	8	0.0100	-0.18975950838231115
23	model	8	0.0100	-0.20968497148062437
24	model	8	0.0100	-0.21565412570344178
0	model	8	0.0200	-0.13077870212547438
1	model	8	0.0200	-0.24618305310436361
2	model	8	0.0200	-0.45016823435341036
3	model	8	0.0200	-0.35495634306732726
4	model	8	0.0200	-0.3250591536938946
5	model	8	0.0200	-0.40237345874563357
6	model	8	0.0200	-0.4343796420916426
7	model	8	0.0200	-0.4962667577088641
8	model	8	0.0200	-0.5554315160997919
9	model	8	0.0200	-0.6281631195226283
10	model	8	0.0200	-0.5493266349128081
11	model	8	0.0200	-0.39855030072176545
12	model	8	0.0200	-0.6316876404848253
13	model	8	0.0200	-0.3447831478411092
14	model	8	0.0200	-0.41616416523311806
15	model	8	0.0200	-0.6150865013223538
16	model	8	0.0200	-0.36581280786810766
17	model	8	0.0200	-0.3807233408523556
18	model	8	0.0200	-0.4108711434212885
19	model	8	0.0200	-0.14664316739158567
20	model	8	0.0200	-0.379917085224004
21	model	8	0.0200	-0.5045970977662627
22	model	8	0.0200	-0.3079239725350188
23	model	8	0.0200	-0.46627810255799773
24	model	8	0.0200	-0.4651121626528929
