net	condition	timestep	distance
0	0	0	0.031252652
0	1	0	0.040224716
0	2	0	0.008972064
0	0	1	0.023784414
0	1	1	0.03759031
0	2	1	0.013805896
0	0	2	0.016105548
0	1	2	0.034463584
0	2	2	0.018358037
0	0	3	0.008286431
0	1	3	0.02861172
0	2	3	0.020325288
0	0	4	0.0008586794
0	1	4	0.021506548
0	2	4	0.020647869
0	0	5	-0.005169183
0	1	5	0.014275417
0	2	5	0.0194446
0	0	6	-0.008689225
0	1	6	0.008071452
0	2	6	0.016760677
0	0	7	-0.009396583
0	1	7	0.0033798814
0	2	7	0.012776464
0	0	8	-0.008102655
0	1	8	-2.3975968e-05
0	2	8	0.008078679
0	0	9	-0.005689621
0	1	9	-0.0022446662
0	2	9	0.0034449548
0	0	10	-0.0030160546
0	1	10	-0.0036925673
0	2	10	-0.0006765127
0	0	11	-0.00042811036
0	1	11	-0.004289642
0	2	11	-0.0038615316
0	0	12	0.0016611814
0	1	12	-0.004312709
0	2	12	-0.0059738904
0	0	13	0.0033286363
0	1	13	-0.0041381866
0	2	13	-0.007466823
0	0	14	0.0039904416
0	1	14	-0.004572347
0	2	14	-0.008562788
0	0	15	0.003679216
0	1	15	-0.005643308
0	2	15	-0.009322524
0	0	16	0.0031301975
0	1	16	-0.0068468302
0	2	16	-0.009977028
0	0	17	0.001610741
0	1	17	-0.009068564
0	2	17	-0.010679305
0	0	18	1.9446015e-05
0	1	18	-0.011532664
0	2	18	-0.01155211
0	0	19	-0.0026979
0	1	19	-0.015199363
0	2	19	-0.012501463
0	0	20	-0.005564317
0	1	20	-0.019267783
0	2	20	-0.013703465
0	0	21	-0.008933604
0	1	21	-0.024031535
0	2	21	-0.015097931
1	0	0	0.016674653
1	1	0	0.036494985
1	2	0	0.019820333
1	0	1	0.009642139
1	1	1	0.02922979
1	2	1	0.01958765
1	0	2	0.0040585697
1	1	2	0.021435425
1	2	2	0.017376855
1	0	3	7.583201e-05
1	1	3	0.016994908
1	2	3	0.016919076
1	0	4	-0.0035030097
1	1	4	0.012965873
1	2	4	0.016468883
1	0	5	-0.0067359507
1	1	5	0.008475572
1	2	5	0.015211523
1	0	6	-0.009143621
1	1	6	0.0038455427
1	2	6	0.012989163
1	0	7	-0.010609537
1	1	7	-0.0007067323
1	2	7	0.009902805
1	0	8	-0.0118112415
1	1	8	-0.0050556213
1	2	8	0.0067556202
1	0	9	-0.011911735
1	1	9	-0.008384973
1	2	9	0.0035267621
1	0	10	-0.010997057
1	1	10	-0.010595441
1	2	10	0.0004016161
1	0	11	-0.009682357
1	1	11	-0.012222007
1	2	11	-0.0025396496
1	0	12	-0.008428492
1	1	12	-0.013292022
1	2	12	-0.0048635304
1	0	13	-0.0073599964
1	1	13	-0.014047325
1	2	13	-0.006687328
1	0	14	-0.0062494054
1	1	14	-0.014301099
1	2	14	-0.008051693
1	0	15	-0.005430542
1	1	15	-0.014298171
1	2	15	-0.008867629
1	0	16	-0.004922554
1	1	16	-0.014532194
1	2	16	-0.00960964
1	0	17	-0.0046207905
1	1	17	-0.015188307
1	2	17	-0.010567516
1	0	18	-0.0050706863
1	1	18	-0.015981242
1	2	18	-0.010910556
1	0	19	-0.0056197643
1	1	19	-0.017281115
1	2	19	-0.011661351
1	0	20	-0.0060689747
1	1	20	-0.0184865
1	2	20	-0.012417525
1	0	21	-0.0068540424
1	1	21	-0.020198077
1	2	21	-0.013344035
2	0	0	0.01600647
2	1	0	0.018369406
2	2	0	0.0023629367
2	0	1	0.0050644577
2	1	1	0.008844674
2	2	1	0.003780216
2	0	2	0.006102681
2	1	2	0.011750042
2	2	2	0.0056473613
2	0	3	0.0053747892
2	1	3	0.0138928
2	2	3	0.00851801
2	0	4	0.0014415383
2	1	4	0.013115406
2	2	4	0.011673868
2	0	5	-0.0030762255
2	1	5	0.010423139
2	2	5	0.013499364
2	0	6	-0.0063830167
2	1	6	0.006867856
2	2	6	0.0132508725
2	0	7	-0.008947402
2	1	7	0.0022353828
2	2	7	0.011182785
2	0	8	-0.010906026
2	1	8	-0.0029649287
2	2	8	0.007941097
2	0	9	-0.012232974
2	1	9	-0.008179203
2	2	9	0.0040537715
2	0	10	-0.011720508
2	1	10	-0.012088895
2	2	10	-0.0003683865
2	0	11	-0.01048106
2	1	11	-0.014805004
2	2	11	-0.0043239444
2	0	12	-0.007570885
2	1	12	-0.015913956
2	2	12	-0.008343071
2	0	13	-0.005192198
2	1	13	-0.01614289
2	2	13	-0.010950692
2	0	14	-0.004255794
2	1	14	-0.016525283
2	2	14	-0.0122694895
2	0	15	-0.0046163425
2	1	15	-0.017914213
2	2	15	-0.013297871
2	0	16	-0.0056502223
2	1	16	-0.019260302
2	2	16	-0.01361008
2	0	17	-0.007027149
2	1	17	-0.020419382
2	2	17	-0.013392232
2	0	18	-0.007859163
2	1	18	-0.02178415
2	2	18	-0.013924986
2	0	19	-0.008951753
2	1	19	-0.023133963
2	2	19	-0.01418221
2	0	20	-0.010354646
2	1	20	-0.024803773
2	2	20	-0.014449127
2	0	21	-0.011687808
2	1	21	-0.026385449
2	2	21	-0.014697641
3	0	0	0.020059437
3	1	0	0.043303356
3	2	0	0.023243919
3	0	1	0.006761074
3	1	1	0.032807574
3	2	1	0.0260465
3	0	2	0.0011012554
3	1	2	0.033850804
3	2	2	0.03274955
3	0	3	-0.0046510696
3	1	3	0.035934553
3	2	3	0.040585622
3	0	4	-0.012630761
3	1	4	0.03444636
3	2	4	0.04707712
3	0	5	-0.019905955
3	1	5	0.028845817
3	2	5	0.04875177
3	0	6	-0.022601575
3	1	6	0.021638691
3	2	6	0.044240266
3	0	7	-0.020275414
3	1	7	0.0144146085
3	2	7	0.034690022
3	0	8	-0.014046311
3	1	8	0.007884383
3	2	8	0.021930695
3	0	9	-0.007048428
3	1	9	0.0027347207
3	2	9	0.009783149
3	0	10	-0.0022057295
3	1	10	-0.0015868545
3	2	10	0.000618875
3	0	11	0.0003785789
3	1	11	-0.0045353174
3	2	11	-0.0049138963
3	0	12	0.0014332235
3	1	12	-0.006759435
3	2	12	-0.008192658
3	0	13	0.0022608936
3	1	13	-0.0072366
3	2	13	-0.0094974935
3	0	14	0.0020776093
3	1	14	-0.008117974
3	2	14	-0.010195583
3	0	15	0.001945585
3	1	15	-0.009050101
3	2	15	-0.010995686
3	0	16	0.00097480416
3	1	16	-0.010071725
3	2	16	-0.011046529
