t	Tmean	Tse	Mmean	Mse	Smean	Sse
0	0.2548368	0.013103818	0.225104	0.013242253	0.20490336	0.012256257
1	0.23666659	0.012420269	0.21909249	0.012760301	0.19798195	0.012014746
2	0.23493788	0.012610686	0.22387335	0.012096315	0.20211959	0.011034392
3	0.23943183	0.012557526	0.23246817	0.011532858	0.21058539	0.010035476
4	0.24329463	0.012422372	0.2398208	0.011631611	0.21883443	0.009531141
5	0.24236839	0.0123061985	0.24185145	0.012304116	0.22295547	0.0096462015
6	0.2353364	0.012156391	0.23650022	0.0128120035	0.22108555	0.010063526
7	0.22313961	0.011856015	0.22450694	0.012605328	0.21372032	0.010301845
8	0.20842609	0.011485463	0.20926681	0.011700956	0.20340392	0.010241441
9	0.19409437	0.011292328	0.19446678	0.010831762	0.1929138	0.010175083
10	0.18223712	0.011495779	0.18249504	0.01070909	0.18428512	0.010533938
11	0.17359444	0.012163494	0.17392986	0.011369203	0.17799778	0.011345041
12	0.16799183	0.013029114	0.16842315	0.0123655	0.17407909	0.012349959
13	0.164728	0.013934199	0.16510537	0.013295076	0.17192917	0.013261689
14	0.16287473	0.014664713	0.16348036	0.013972087	0.17117164	0.013955035
15	0.16202253	0.015256037	0.16284826	0.014416593	0.171347	0.014455526
16	0.16170111	0.015704708	0.16291574	0.014699533	0.1720642	0.014784903
17	0.1617433	0.016081724	0.16336289	0.014864832	0.17326772	0.014997535
18	0.16203134	0.01639743	0.16428132	0.01502068	0.17489569	0.015152247
19	0.16251214	0.016693046	0.16567239	0.015168233	0.1770891	0.015310732
20	0.1633809	0.016994957	0.16756329	0.015330273	0.17984858	0.015424928
21	0.16460174	0.017332274	0.17007399	0.015528355	0.18334566	0.015579923
