t	Tmean	Tse	Mmean	Mse	Smean	Sse
0	0.33836082	0.012512715	0.33137673	0.011544832	0.29820618	0.012498774
1	0.3139486	0.011239631	0.32213432	0.009850369	0.2875537	0.010952002
2	0.31136122	0.011059554	0.32922167	0.008051572	0.29366532	0.009129826
3	0.31720904	0.010403048	0.34226757	0.0068608257	0.30633748	0.0075759655
4	0.32230368	0.0095248595	0.35356092	0.007726599	0.31861717	0.0066073867
5	0.32111496	0.008938919	0.3569867	0.010096229	0.3246946	0.006298374
6	0.31184608	0.008723216	0.34946138	0.012091694	0.32195836	0.0067080515
7	0.295752	0.0088085905	0.3320672	0.012891922	0.3112704	0.0074873255
8	0.27628368	0.00902472	0.3097716	0.012508665	0.29628178	0.0080130035
9	0.25722462	0.009337356	0.2879271	0.011794443	0.2809502	0.008386683
10	0.24132296	0.009882482	0.27002594	0.011648597	0.26817364	0.0090989545
11	0.22957107	0.010794881	0.2570085	0.012320702	0.2586991	0.010276596
12	0.22178078	0.011780635	0.24849233	0.013404275	0.25263363	0.011586003
13	0.21708255	0.012730947	0.24324584	0.014383609	0.24923007	0.012775079
14	0.21430242	0.0134406015	0.24055567	0.015010825	0.24795523	0.013651624
15	0.21291256	0.013993273	0.23941842	0.015376182	0.24810472	0.014248485
16	0.21228082	0.014381516	0.23939319	0.015570329	0.2491329	0.014655191
17	0.21215928	0.014683095	0.23998721	0.015659157	0.25095397	0.0149861295
18	0.21239224	0.014929346	0.24135418	0.01583194	0.25340864	0.015243439
19	0.21289012	0.015167303	0.24340343	0.015992904	0.25668916	0.015512192
20	0.21391836	0.015444201	0.24617383	0.016181013	0.26079467	0.015740734
21	0.21540251	0.01578623	0.24984522	0.01640756	0.26594824	0.016010504
