net	condition	timestep	distance
0	0	0	0.20336817
0	1	0	0.17211552
0	2	0	0.16314346
0	0	1	0.19691797
0	1	1	0.17313355
0	2	1	0.15932766
0	0	2	0.20214398
0	1	2	0.18603843
0	2	2	0.1676804
0	0	3	0.20831332
0	1	3	0.20002688
0	2	3	0.1797016
0	0	4	0.21127042
0	1	4	0.21041174
0	2	4	0.18976387
0	0	5	0.20980422
0	1	5	0.2149734
0	2	5	0.1955288
0	0	6	0.2040339
0	1	6	0.21272312
0	2	6	0.19596244
0	0	7	0.1943559
0	1	7	0.20375249
0	2	7	0.19097602
0	0	8	0.18230857
0	1	8	0.19041122
0	2	8	0.18233255
0	0	9	0.16988726
0	1	9	0.17557688
0	2	9	0.17213193
0	0	10	0.1588774
0	1	10	0.16189346
0	2	10	0.16256997
0	0	11	0.1503972
0	1	11	0.1508253
0	2	11	0.15468684
0	0	12	0.14444573
0	1	12	0.14278455
0	2	12	0.14875844
0	0	13	0.14048058
0	1	13	0.13715194
0	2	13	0.14461876
0	0	14	0.13782208
0	1	14	0.13383164
0	2	14	0.14239442
0	0	15	0.13595998
0	1	15	0.13228077
0	2	15	0.14160329
0	0	16	0.13492125
0	1	16	0.13179106
0	2	16	0.14176808
0	0	17	0.13410994
0	1	17	0.1324992
0	2	17	0.14317851
0	0	18	0.1336762
0	1	18	0.13365676
0	2	18	0.14520887
0	0	19	0.13321453
0	1	19	0.13591243
0	2	19	0.1484139
0	0	20	0.13317621
0	1	20	0.13874052
0	2	20	0.15244399
0	0	21	0.13342322
0	1	21	0.14235683
0	2	21	0.15745476
1	0	0	0.2029236
1	1	0	0.18624894
1	2	0	0.16642861
1	0	1	0.18342975
1	1	1	0.17378761
1	2	1	0.15419996
1	0	2	0.17646018
1	1	2	0.1724016
1	2	2	0.15502475
1	0	3	0.18002073
1	1	3	0.1799449
1	2	3	0.16302583
1	0	4	0.1853405
1	1	4	0.1888435
1	2	4	0.17237462
1	0	5	0.18642065
1	1	5	0.1931566
1	2	5	0.17794508
1	0	6	0.18173334
1	1	6	0.19087696
1	2	6	0.1778878
1	0	7	0.17237356
1	1	7	0.1829831
1	2	7	0.1730803
1	0	8	0.15960304
1	1	8	0.17141429
1	2	8	0.16465867
1	0	9	0.14620008
1	1	9	0.15811181
1	2	9	0.15458505
1	0	10	0.13421206
1	1	10	0.14520912
1	2	10	0.1448075
1	0	11	0.124712706
1	1	11	0.13439506
1	2	11	0.13693471
1	0	12	0.118592836
1	1	12	0.12702133
1	2	12	0.13188486
1	0	13	0.11575173
1	1	13	0.123111725
1	2	13	0.12979905
1	0	14	0.1159041
1	1	14	0.122153506
1	2	14	0.1302052
1	0	15	0.1178793
1	1	15	0.12330984
1	2	15	0.13217747
1	0	16	0.120680764
1	1	16	0.12560332
1	2	16	0.13521296
1	0	17	0.12390116
1	1	17	0.12852195
1	2	17	0.13908947
1	0	18	0.12691697
1	1	18	0.13198766
1	2	18	0.14289822
1	0	19	0.12972854
1	1	19	0.1353483
1	2	19	0.14700966
1	0	20	0.1326988
1	1	20	0.13876778
1	2	20	0.1511853
1	0	21	0.13529226
1	1	21	0.1421463
1	2	21	0.15549034
2	0	0	0.30836555
2	1	0	0.29235908
2	2	0	0.28999615
2	0	1	0.29258737
2	1	1	0.2875229
2	2	1	0.2837427
2	0	2	0.28655317
2	1	2	0.2804505
2	2	2	0.27480313
2	0	3	0.27950597
2	1	3	0.27413118
2	2	3	0.26561317
2	0	4	0.26953277
2	1	4	0.26809123
2	2	4	0.25641736
2	0	5	0.254844
2	1	5	0.25792024
2	2	5	0.24442087
2	0	6	0.2354057
2	1	6	0.24178872
2	2	6	0.22853784
2	0	7	0.21196756
2	1	7	0.22091496
2	2	7	0.20973217
2	0	8	0.1877554
2	1	8	0.19866143
2	2	8	0.19072033
2	0	9	0.16482805
2	1	9	0.17706102
2	2	9	0.17300725
2	0	10	0.14509165
2	1	10	0.15681216
2	2	10	0.15718055
2	0	11	0.12897022
2	1	11	0.13945128
2	2	11	0.14377522
2	0	12	0.117929064
2	1	12	0.12549995
2	2	12	0.13384302
2	0	13	0.11081742
2	1	13	0.116009615
2	2	13	0.1269603
2	0	14	0.10684502
2	1	14	0.111100815
2	2	14	0.123370305
2	0	15	0.10441928
2	1	15	0.109035626
2	2	15	0.1223335
2	0	16	0.10322117
2	1	16	0.10887139
2	2	16	0.12248147
2	0	17	0.10272036
2	1	17	0.10974751
2	2	17	0.12313974
2	0	18	0.102752864
2	1	18	0.11061203
2	2	18	0.12453701
2	0	19	0.10334876
2	1	19	0.112300515
2	2	19	0.12648273
2	0	20	0.104259685
2	1	20	0.11461433
2	2	20	0.12906346
2	0	21	0.10565611
2	1	21	0.11734392
2	2	21	0.13204156
3	0	0	0.26260746
3	1	0	0.24254802
3	2	0	0.2193041
3	0	1	0.24784966
3	1	1	0.24108858
3	2	1	0.21504208
3	0	2	0.25998956
3	1	2	0.2588883
3	2	2	0.22613876
3	0	3	0.28147608
3	1	3	0.28612715
3	2	3	0.24554153
3	0	4	0.3034326
3	1	4	0.31606337
3	2	4	0.26898625
3	0	5	0.3188942
3	1	5	0.33880016
3	2	5	0.2900484
3	0	6	0.32364473
3	1	6	0.3462463
3	2	6	0.30200604
3	0	7	0.3158314
3	1	7	0.3361068
3	2	7	0.30141678
3	0	8	0.29867852
3	1	8	0.31272483
3	2	8	0.29079413
3	0	9	0.27976128
3	1	9	0.2868097
3	2	9	0.27702656
3	0	10	0.26543355
3	1	10	0.26763928
3	2	10	0.2670204
3	0	11	0.2585458
3	1	11	0.2581672
3	2	11	0.2630811
3	0	12	0.2576465
3	1	12	0.25621328
3	2	12	0.26440594
3	0	13	0.26077202
3	1	13	0.25851113
3	2	13	0.26800862
3	0	14	0.2646932
3	1	14	0.2626156
3	2	14	0.27281117
3	0	15	0.2689163
3	1	15	0.26697072
3	2	15	0.2779664
3	0	16	0.272693
3	1	16	0.2717182
3	2	16	0.28276473
3	0	17	0.27639467
3	1	17	0.2759419
3	2	17	0.2869669
3	0	18	0.27978364
3	1	18	0.28004286
3	2	18	0.29102084
3	0	19	0.28305244
3	1	19	0.2840483
3	2	19	0.29536226
3	0	20	0.28638428
3	1	20	0.2880152
3	2	20	0.29925495
3	0	21	0.28985444
3	1	21	0.2924024
3	2	21	0.3034608
4	0	0	0.30411407
4	1	0	0.2342396
4	2	0	0.20390446
4	0	1	0.2715025
4	1	1	0.22035219
4	2	1	0.19604053
4	0	2	0.25998312
4	1	2	0.22259977
4	2	2	0.2008985
4	0	3	0.26384896
4	1	3	0.23269644
4	2	3	0.21161506
4	0	4	0.2702805
4	1	4	0.24280621
4	2	4	0.22216082
4	0	5	0.27105913
4	1	5	0.24818027
4	2	5	0.22893809
4	0	6	0.26363292
4	1	6	0.24570146
4	2	6	0.22935277
4	0	7	0.24963795
4	1	7	0.23593377
4	2	7	0.22371134
4	0	8	0.2329567
4	1	8	0.2231579
4	2	8	0.21518132
4	0	9	0.2164088
4	1	9	0.2115739
4	2	9	0.2061848
4	0	10	0.20206344
4	1	10	0.20252943
4	2	10	0.19885929
4	0	11	0.1906407
4	1	11	0.19613335
4	2	11	0.193051
4	0	12	0.18237215
4	1	12	0.19188057
4	2	12	0.18899152
4	0	13	0.17635548
4	1	13	0.18834367
4	2	13	0.18604402
4	0	14	0.17157322
4	1	14	0.18514362
4	2	14	0.18349756
4	0	15	0.16845366
4	1	15	0.18230203
4	2	15	0.18146695
4	0	16	0.16561742
4	1	16	0.17978437
4	2	16	0.17995656
4	0	17	0.16393994
4	1	17	0.17747904
4	2	17	0.17933217
4	0	18	0.16345274
4	1	18	0.17628014
4	2	18	0.17948042
4	0	19	0.16426373
4	1	19	0.17613308
4	2	19	0.18093923
4	0	20	0.16667016
4	1	20	0.17798243
4	2	20	0.18421127
4	0	21	0.1709204
4	1	21	0.18140075
4	2	21	0.18963479
5	0	0	0.28362975
5	1	0	0.25045776
5	2	0	0.20789377
5	0	1	0.28918663
5	1	1	0.25908923
5	2	1	0.2109799
5	0	2	0.2977513
5	1	2	0.27313143
5	2	2	0.22504239
5	0	3	0.30220675
5	1	3	0.2787975
5	2	3	0.2358693
5	0	4	0.29855004
5	1	4	0.27622628
5	2	4	0.24086611
5	0	5	0.28565523
5	1	5	0.26683885
5	2	5	0.23932973
5	0	6	0.2637929
5	1	6	0.25072587
5	2	6	0.23043382
5	0	7	0.23758624
5	1	7	0.23047641
5	2	7	0.216521
5	0	8	0.21406083
5	1	8	0.21297802
5	2	8	0.20367649
5	0	9	0.19819446
5	1	9	0.20334432
5	2	9	0.19706549
5	0	10	0.19074826
5	1	10	0.20159563
5	2	10	0.1966366
5	0	11	0.18975504
5	1	11	0.20347346
5	2	11	0.19959891
5	0	12	0.191991
5	1	12	0.20588478
5	2	12	0.2034449
5	0	13	0.1951949
5	1	13	0.20722613
5	2	13	0.20636666
5	0	14	0.19752297
5	1	14	0.20703354
5	2	14	0.20812802
5	0	15	0.19840099
5	1	15	0.2053267
5	2	15	0.20807289
5	0	16	0.19750981
5	1	16	0.20205525
5	2	16	0.20630561
5	0	17	0.19464238
5	1	17	0.19786039
5	2	17	0.20372188
5	0	18	0.19027932
5	1	18	0.19379082
5	2	18	0.20095292
5	0	19	0.18517832
5	1	19	0.19097036
5	2	19	0.19906458
5	0	20	0.18016921
5	1	20	0.1897057
5	2	20	0.19848935
5	0	21	0.17622371
5	1	21	0.1900276
5	2	21	0.19983925
6	0	0	0.2498145
6	1	0	0.20689917
6	2	0	0.20032091
6	0	1	0.2116723
6	1	1	0.19211672
6	2	1	0.18204099
6	0	2	0.20117256
6	1	2	0.19477445
6	2	2	0.17935352
6	0	3	0.20122954
6	1	3	0.20288534
6	2	3	0.1848798
6	0	4	0.20434944
6	1	4	0.21030225
6	2	4	0.19348446
6	0	5	0.20730889
6	1	5	0.21373217
6	2	5	0.20080604
6	0	6	0.20654173
6	1	6	0.21100613
6	2	6	0.20382641
6	0	7	0.20058605
6	1	7	0.20123236
6	2	7	0.20023128
6	0	8	0.1898612
6	1	8	0.1866561
6	2	8	0.19071314
6	0	9	0.1767619
6	1	9	0.170294
6	2	9	0.17835991
6	0	10	0.16440776
6	1	10	0.15647382
6	2	10	0.16674772
6	0	11	0.15395314
6	1	11	0.1468404
6	2	11	0.15754388
6	0	12	0.14603777
6	1	12	0.14108735
