net	condition	timestep	distance
0	0	0	0.30660972
0	1	0	0.25201443
0	2	0	0.26208103
0	0	1	0.29694778
0	1	1	0.25350216
0	2	1	0.25595194
0	0	2	0.30483013
0	1	2	0.27239925
0	2	2	0.2693694
0	0	3	0.31412926
0	1	3	0.29288188
0	2	3	0.2886796
0	0	4	0.31859073
0	1	4	0.30808687
0	2	4	0.30484465
0	0	5	0.31637478
0	1	5	0.31476843
0	2	5	0.3141044
0	0	6	0.30767652
0	1	6	0.31146765
0	2	6	0.3147986
0	0	7	0.29308453
0	1	7	0.29833716
0	2	7	0.30679375
0	0	8	0.27491742
0	1	8	0.27880114
0	2	8	0.2929062
0	0	9	0.25618443
0	1	9	0.2570793
0	2	9	0.2765211
0	0	10	0.23958606
0	1	10	0.23704627
0	2	10	0.2611598
0	0	11	0.22679813
0	1	11	0.2208416
0	2	11	0.24849562
0	0	12	0.21782054
0	1	12	0.2090689
0	2	12	0.23897228
0	0	13	0.2118414
0	1	13	0.20081927
0	2	13	0.23232195
0	0	14	0.20783423
0	1	14	0.19595712
0	2	14	0.22874643
0	0	15	0.20502554
0	1	15	0.19368736
0	2	15	0.22747754
0	0	16	0.20345582
0	1	16	0.19297038
0	2	16	0.22774276
0	0	17	0.20223448
0	1	17	0.19400835
0	2	17	0.23000923
0	0	18	0.20158052
0	1	18	0.19570245
0	2	18	0.23326963
0	0	19	0.20088385
0	1	19	0.1990063
0	2	19	0.23841977
0	0	20	0.20082687
0	1	20	0.20314682
0	2	20	0.24489228
0	0	21	0.20119691
0	1	21	0.2084421
0	2	21	0.25294197
1	0	0	0.29701766
1	1	0	0.34832525
1	2	0	0.32895073
1	0	1	0.2685009
1	1	1	0.32502767
1	2	1	0.30478838
1	0	2	0.25830472
1	1	2	0.32243815
1	2	2	0.30641285
1	0	3	0.26352304
1	1	3	0.33654588
1	2	3	0.32223082
1	0	4	0.2713069
1	1	4	0.35318923
1	2	4	0.34070894
1	0	5	0.27288893
1	1	5	0.36125705
1	2	5	0.35172376
1	0	6	0.266027
1	1	6	0.35698858
1	2	6	0.35160676
1	0	7	0.25232565
1	1	7	0.3422315
1	2	7	0.34210476
1	0	8	0.23363139
1	1	8	0.3205882
1	2	8	0.32545406
1	0	9	0.2140108
1	1	9	0.29571825
1	2	9	0.30554196
1	0	10	0.1964614
1	1	10	0.27158162
1	2	10	0.28621915
1	0	11	0.18255582
1	1	11	0.2513568
1	2	11	0.2706587
1	0	12	0.17359889
1	1	12	0.23756519
1	2	12	0.26067573
1	0	13	0.16944306
1	1	13	0.23025301
1	2	13	0.25655696
1	0	14	0.16966231
1	1	14	0.22845979
1	2	14	0.25735945
1	0	15	0.17255223
1	1	15	0.23062398
1	2	15	0.26125255
1	0	16	0.1766533
1	1	16	0.23491366
1	2	16	0.2672562
1	0	17	0.18136914
1	1	17	0.24037097
1	2	17	0.27491462
1	0	18	0.18578264
1	1	18	0.24685267
1	2	18	0.28244463
1	0	19	0.18990208
1	1	19	0.25313786
1	2	19	0.2905737
1	0	20	0.1942473
1	1	20	0.25953352
1	2	20	0.29882696
1	0	21	0.19804259
1	1	21	0.26585054
1	2	21	0.3073366
2	0	0	0.37033087
2	1	0	0.35911453
2	2	0	0.35188067
2	0	1	0.3514331
2	1	1	0.35320166
2	2	1	0.3442783
2	0	2	0.34419346
2	1	2	0.34451666
2	2	2	0.33342654
2	0	3	0.33572328
2	1	3	0.33675155
2	2	3	0.32227507
2	0	4	0.32374686
2	1	4	0.32933596
2	2	4	0.31111467
2	0	5	0.30610123
2	1	5	0.31684256
2	2	5	0.2965637
2	0	6	0.28274915
2	1	6	0.2970265
2	2	6	0.27729213
2	0	7	0.25459945
2	1	7	0.2713784
2	2	7	0.25447735
2	0	8	0.22551747
2	1	8	0.24404256
2	2	8	0.2314034
2	0	9	0.1979769
2	1	9	0.21750826
2	2	9	0.20991449
2	0	10	0.17427342
2	1	10	0.19263212
2	2	10	0.19070956
2	0	11	0.15491116
2	1	11	0.17130871
2	2	11	0.17444575
2	0	12	0.14164741
2	1	12	0.15416774
2	2	12	0.1623928
2	0	13	0.13310657
2	1	13	0.14251064
2	2	13	0.15404412
2	0	14	0.128335
2	1	14	0.13648053
2	2	14	0.14968866
2	0	15	0.12542108
2	1	15	0.13394408
2	2	15	0.14843193
2	0	16	0.12398173
2	1	16	0.13373996
2	2	16	0.14860813
2	0	17	0.12338004
2	1	17	0.13481945
2	2	17	0.14940858
2	0	18	0.123419456
2	1	18	0.13587978
2	2	18	0.1511015
